=================================================================
                     gname 一口价查询记录
=================================================================
 查询时间: 2026-04-17 12:03:01
 命中数量: 2187 条记录
 数据完整: 是
-----------------------------------------------------------------
 域名 (Domain)                     |  价格 (Price)
 dfi89.cn                        |  ￥ 2.66
 egj01.cn                        |  ￥ 2.66
 fhi23.cn                        |  ￥ 2.66
 egh01.cn                        |  ￥ 2.66
 egi23.cn                        |  ￥ 2.66
 fhj45.cn                        |  ￥ 2.66
 gik67.cn                        |  ￥ 2.66
 dfh01.cn                        |  ￥ 2.66
 ejl01.cn                        |  ￥ 2.66
 ehk01.cn                        |  ￥ 2.66
 goodnsjy.cn                     |  ￥ 2.66
 goodeagj.cn                     |  ￥ 2.66
 goodywwc.cn                     |  ￥ 2.66
 goodonr.cn                      |  ￥ 2.66
 goodkkoe.cn                     |  ￥ 2.66
 goodaqu.cn                      |  ￥ 2.66
 goodhzv.cn                      |  ￥ 2.66
 goodxxh.cn                      |  ￥ 2.66
 goodveq.cn                      |  ￥ 2.66
 goodoxv.cn                      |  ￥ 2.66
 goodjcoh.cn                     |  ￥ 2.66
 goodxmp.cn                      |  ￥ 2.66
 gooddjzl.cn                     |  ￥ 2.66
 goodtfb.cn                      |  ￥ 2.66
 goodrzq.cn                      |  ￥ 2.66
 goodmnk.cn                      |  ￥ 2.66
 goodhffn.cn                     |  ￥ 2.66
 goodvoa.cn                      |  ￥ 2.66
 goodogu.cn                      |  ￥ 2.66
 goodecbc.cn                     |  ￥ 2.66
 goodnop.cn                      |  ￥ 2.66
 goodeafv.cn                     |  ￥ 2.66
 goodfdk.cn                      |  ￥ 2.66
 goodydkd.cn                     |  ￥ 2.66
 goodyjiw.cn                     |  ￥ 2.66
 goodugvu.cn                     |  ￥ 2.66
 goodkltl.cn                     |  ￥ 2.66
 goodgxge.cn                     |  ￥ 2.66
 goodrwf.cn                      |  ￥ 2.66
 goodwmls.cn                     |  ￥ 2.66
 goodtlti.cn                     |  ￥ 2.66
 goodzkjj.cn                     |  ￥ 2.66
 goodndw.cn                      |  ￥ 2.66
 goodfgz.cn                      |  ￥ 2.66
 goodyxr.cn                      |  ￥ 2.66
 goodiza.cn                      |  ￥ 2.66
 goodbhys.cn                     |  ￥ 2.66
 goodftff.cn                     |  ￥ 2.66
 goodizn.cn                      |  ￥ 2.66
 gooduuf.cn                      |  ￥ 2.66
 goodmnh.cn                      |  ￥ 2.66
 goodmgw.cn                      |  ￥ 2.66
 goodpzyp.cn                     |  ￥ 2.66
 gooduam.cn                      |  ￥ 2.66
 goodhvpm.cn                     |  ￥ 2.66
 goodphuf.cn                     |  ￥ 2.66
 goodnwv.cn                      |  ￥ 2.66
 gooddeo.cn                      |  ￥ 2.66
 goodrgy.cn                      |  ￥ 2.66
 gooddrle.cn                     |  ￥ 2.66
 goodimh.cn                      |  ￥ 2.66
 gooddzy.cn                      |  ￥ 2.66
 goodujhm.cn                     |  ￥ 2.66
 goodehcj.cn                     |  ￥ 2.66
 fzpwkx.cn                       |  ￥ 2.22
 fwkxj.cn                        |  ￥ 2.22
 fpjxz.cn                        |  ￥ 2.22
 fwjxz.cn                        |  ￥ 2.22
 fwpxj.cn                        |  ￥ 2.22
 fwvzp.cn                        |  ￥ 2.22
 gksmqu.cn                       |  ￥ 2.22
 goeqyk.cn                       |  ￥ 2.22
 ffuzbv.cn                       |  ￥ 2.22
 evvbe.cn                        |  ￥ 2.22
 ghgvbf.cn                       |  ￥ 2.22
 ffznag.cn                       |  ￥ 2.22
 epreiuyw.cn                     |  ￥ 2.22
 gbyhnui.cn                      |  ￥ 2.98
 fghjuy.cn                       |  ￥ 2.66
 fvgbhn.cn                       |  ￥ 2.66
 edrfvt.cn                       |  ￥ 2.66
 ghjklop.cn                      |  ￥ 2.66
 frgthny.cn                      |  ￥ 2.66
 fdsazxc.cn                      |  ￥ 2.66
 ghjklmn.cn                      |  ￥ 2.66
 f5hjm.cn                        |  ￥ 2.66
 eullu.cn                        |  ￥ 2.66
 dsyfp.cn                        |  ￥ 2.66
 gkjxv.cn                        |  ￥ 2.66
 frhbu.cn                        |  ￥ 2.66
 ewsqaz.cn                       |  ￥ 2.66
 dcrfvt.cn                       |  ￥ 2.66
 gbyhnj.cn                       |  ￥ 2.66
 ewettg.cn                       |  ￥ 2.66
 fvtgby.cn                       |  ￥ 2.66
 gtfrdc.cn                       |  ￥ 2.66
 gtredc.cn                       |  ￥ 2.66
 e7r2t.cn                        |  ￥ 2.66
 g2h6j.cn                        |  ￥ 2.66
 f0g3h.cn                        |  ￥ 2.66
 g4h7j.cn                        |  ￥ 2.66
 f4d5s6.cn                       |  ￥ 2.66
 g6j7h8.cn                       |  ￥ 2.66
 f7d8s9.cn                       |  ￥ 2.66
 fpxvk.cn                        |  ￥ 3.66
 emntxc.cn                       |  ￥ 2.66
 fnouyh.cn                       |  ￥ 2.66
 gpovzi.cn                       |  ￥ 2.66
 dlmswb.cn                       |  ￥ 2.66
 gkovad.cn                       |  ￥ 2.66
 fjnuzc.cn                       |  ￥ 2.66
 eimtyb.cn                       |  ￥ 2.66
 dhlrxa.cn                       |  ￥ 2.66
 fhjlnp.cn                       |  ￥ 2.66
 ghirst.cn                       |  ￥ 2.66
 defuvw.cn                       |  ￥ 2.66
 g1h2i.cn                        |  ￥ 2.66
 e8f9g.cn                        |  ￥ 2.66
 f8g9h.cn                        |  ￥ 2.66
 f6g7h.cn                        |  ￥ 2.66
 f4g5h.cn                        |  ￥ 2.66
 g4h5i.cn                        |  ￥ 2.66
 e2f3g.cn                        |  ￥ 2.66
 e9f1g.cn                        |  ￥ 2.66
 f2g3h.cn                        |  ￥ 2.66
 f9g1h.cn                        |  ￥ 2.66
 fgirjdh.cn                      |  ￥ 2.66
 dplvaj.cn                       |  ￥ 2.66
 ghounj.cn                       |  ￥ 2.66
 easy4.cn                        |  ￥ 2.66
 end29.cn                        |  ￥ 2.66
 digita8.cn                      |  ￥ 2.66
 fazhan8.cn                      |  ￥ 2.66
 fj2342dfvd.cn                   |  ￥ 2.66
 gairong.cn                      |  ￥ 3.66
 dhnbvkm.cn                      |  ￥ 2.22
 gjhqxgx.cn                      |  ￥ 2.22
 eynffyb.cn                      |  ￥ 2.22
 gfjzjfz.cn                      |  ￥ 2.22
 fzcrott.cn                      |  ￥ 2.22
 ekdyyck.cn                      |  ￥ 2.22
 fekvuge.cn                      |  ￥ 2.22
 erucgru.cn                      |  ￥ 2.22
 ewyqvke.cn                      |  ￥ 2.22
 foxjhdy.cn                      |  ￥ 2.22
 fqhwjrc.cn                      |  ￥ 2.22
 dwcmszt.cn                      |  ￥ 2.22
 dhvur.cn                        |  ￥ 2.22
 fnthl.cn                        |  ￥ 2.22
 fpwsdi.cn                       |  ￥ 2.22
 gyrzyo.cn                       |  ￥ 2.22
 fkcue.cn                        |  ￥ 2.22
 fhasdf.cn                       |  ￥ 2.22
 fafh.cn                         |  ￥ 2.22
 faqn.cn                         |  ￥ 2.22
 fasb.cn                         |  ￥ 2.22
 farz.cn                         |  ￥ 2.22
 fawx.cn                         |  ￥ 2.22
 fayb.cn                         |  ￥ 2.22
 faxp.cn                         |  ￥ 2.22
 fazq.cn                         |  ￥ 2.22
 fdefo.cn                        |  ￥ 2.22
 fcdfo.cn                        |  ￥ 2.22
 fhijr.cn                        |  ￥ 2.22
 fcdfl.cn                        |  ￥ 2.22
 fqrsc.cn                        |  ￥ 2.22
 fijku.cn                        |  ￥ 2.22
 fhijs.cn                        |  ￥ 2.22
 fqrsd.cn                        |  ￥ 2.22
 ftuvc.cn                        |  ￥ 2.22
 fopra.cn                        |  ￥ 2.22
 fklmw.cn                        |  ￥ 2.22
 fghiw.cn                        |  ￥ 2.22
 fabcp.cn                        |  ￥ 2.22
 fcdfm.cn                        |  ￥ 2.22
 fnopz.cn                        |  ￥ 2.22
 fdefq.cn                        |  ￥ 2.22
 fhijt.cn                        |  ￥ 2.22
 fwxyi.cn                        |  ￥ 2.22
 fijkw.cn                        |  ￥ 2.22
 fklmx.cn                        |  ￥ 2.22
 fabcq.cn                        |  ￥ 2.22
 fdefr.cn                        |  ￥ 2.22
 fqrse.cn                        |  ￥ 2.22
 fcdfn.cn                        |  ￥ 2.22
 fstuc.cn                        |  ￥ 2.22
 fwxyj.cn                        |  ￥ 2.22
 fqrsf.cn                        |  ￥ 2.22
 foprb.cn                        |  ￥ 2.22
 fabcr.cn                        |  ￥ 2.22
 fuvwi.cn                        |  ￥ 2.22
 ftuvd.cn                        |  ￥ 2.22
 fhiju.cn                        |  ￥ 2.22
 fwjxpk.cn                       |  ￥ 2.22
 fwqzxj.cn                       |  ￥ 2.22
 fpxvkj.cn                       |  ￥ 2.22
 fwvzpk.cn                       |  ￥ 2.22
 fqxwzk.cn                       |  ￥ 2.22
 fxpwzj.cn                       |  ￥ 2.22
 fvpwzk.cn                       |  ￥ 2.22
 fzpxwj.cn                       |  ￥ 2.22
 egmux.cn                        |  ￥ 10.00
 eflnq.cn                        |  ￥ 10.00
 ecodxb.cn                       |  ￥ 10.00
 enjoinfo.cn                     |  ￥ 10.00
 fwtlu.cn                        |  ￥ 10.00
 eyztad.cn                       |  ￥ 10.00
 etinad.cn                       |  ￥ 10.00
 elnikv.cn                       |  ￥ 10.00
 girch.cn                        |  ￥ 10.00
 grpad.cn                        |  ￥ 10.00
 euvjr.cn                        |  ￥ 10.00
 gmwkvj.cn                       |  ￥ 10.00
 gqpivm.cn                       |  ￥ 10.00
 ght5ey.cn                       |  ￥ 10.00
 facaifa99.com                   |  ￥ 3.98
 facaijie668.com                 |  ￥ 3.98
 fafajie168.com                  |  ￥ 3.98
 fafawei123.com                  |  ￥ 3.98
 facaiwei287.com                 |  ￥ 3.98
 facaifa88.com                   |  ￥ 3.98
 dpoy01.cn                       |  ￥ 5.00
 gjsfd.cn                        |  ￥ 3.00
 daye123.cn                      |  ￥ 5.00
 entire-yiwan28.com              |  ￥ 2.68
 entire-mk.com                   |  ￥ 2.68
 globai-aiyouxi.com              |  ￥ 2.68
 globai-leisusports.com          |  ￥ 2.68
 jlhwgw.com                      |  ￥ 15.00
 hnjmshb.com                     |  ￥ 15.00
 howoqo.com                      |  ￥ 15.00
 hzmsmd.com                      |  ￥ 15.00
 kgylwy.com                      |  ￥ 15.00
 hnzczy.com                      |  ￥ 20.00
 jiaqinw651.com                  |  ￥ 10.00
 kungfucn.com                    |  ￥ 8.99
 hubeidir.com                    |  ￥ 8.80
 jiujiaxiang.com                 |  ￥ 8.50
 izongxiong.com                  |  ￥ 3.50
 ifeichang.com                   |  ￥ 3.50
 ijingluo.com                    |  ￥ 3.50
 hefantong.com                   |  ￥ 3.50
 hanyulupan.com                  |  ￥ 10.00
 kcw688.com                      |  ￥ 10.00
 laijituan.com                   |  ￥ 20.00
 gzsbmy.com                      |  ￥ 20.00
 gzqiya.com                      |  ￥ 20.00
 jiaozhisheng.com                |  ￥ 20.00
 jiaroujf.com                    |  ￥ 20.00
 hnhzty.com                      |  ￥ 20.00
 justdecorideas.com              |  ￥ 20.00
 hdjdxw.com                      |  ￥ 20.00
 jumbo-score.com                 |  ￥ 20.00
 jiuxinruitong.com               |  ￥ 20.00
 klhwbi.com                      |  ￥ 20.00
 hjhs24k.com                     |  ￥ 20.00
 ixinmei.com                     |  ￥ 20.00
 jingshangarden-hotel.com        |  ￥ 20.00
 gzwqfq.com                      |  ￥ 10.00
 gzzdyg.com                      |  ￥ 10.00
 gzzxxs.com                      |  ￥ 10.00
 gzwdbs.com                      |  ￥ 10.00
 gzqjbh.com                      |  ￥ 10.00
 gzqlfp.com                      |  ￥ 10.00
 gzwxkf.com                      |  ￥ 10.00
 gzyczb.com                      |  ￥ 10.00
 gzyhht.com                      |  ￥ 10.00
 gzzgjj.com                      |  ￥ 10.00
 gzzjyl.com                      |  ￥ 10.00
 gzzxpt.com                      |  ￥ 10.00
 gzrcsy.com                      |  ￥ 10.00
 gzsdsy.com                      |  ￥ 10.00
 gzsjwq.com                      |  ￥ 10.00
 gztaby.com                      |  ￥ 10.00
 gztngk.com                      |  ￥ 10.00
 gzsxkd.com                      |  ￥ 10.00
 gztnwj.com                      |  ￥ 10.00
 ikgggfc.com                     |  ￥ 19.00
 ikwjxmct.com                    |  ￥ 19.00
 hovfawlg.com                    |  ￥ 20.00
 kz14by.com                      |  ￥ 20.00
 jakhrap.com                     |  ￥ 20.00
 izxajpd.com                     |  ￥ 20.00
 itmvdtv.com                     |  ￥ 20.00
 ipebhj.com                      |  ￥ 20.00
 ibsgsn.com                      |  ￥ 20.00
 iatamk.com                      |  ￥ 20.00
 kmyouia.com                     |  ￥ 20.00
 jjynwth.com                     |  ￥ 19.00
 id9ssx.com                      |  ￥ 20.00
 k4axxv.com                      |  ￥ 20.00
 jfzbdho.com                     |  ￥ 19.00
 jdnbdbb.com                     |  ￥ 20.00
 hz-hjj.com                      |  ￥ 20.00
 ifcbggu.com                     |  ￥ 20.00
 haozebaba.com                   |  ￥ 20.00
 juyuanrun.com                   |  ￥ 20.00
 k44t4e.com                      |  ￥ 20.00
 jorjigsrp.com                   |  ￥ 20.00
 jybh520.com                     |  ￥ 19.00
 hyjydc.com                      |  ￥ 20.00
 jinchenvc.com                   |  ￥ 19.00
 huobideed.com                   |  ￥ 19.00
 hongyunks.com                   |  ￥ 20.00
 hongyanly.com                   |  ￥ 20.00
 jinsehuishou.com                |  ￥ 20.00
 hongxilogistics.com             |  ￥ 20.00
 lanqianschool.com               |  ￥ 20.00
 kakayishang.com                 |  ￥ 20.00
 hply520860.com                  |  ￥ 13.00
 jiandanxiezuo.com               |  ￥ 13.00
 knocknail.com                   |  ￥ 13.00
 hmy-hotel.com                   |  ￥ 6.80
 hys333.com                      |  ￥ 6.80
 jntongjin.com                   |  ￥ 6.80
 jiangchendl.com                 |  ￥ 6.80
 itlulife.com                    |  ￥ 6.80
 iyusee.com                      |  ￥ 6.80
 huiyuanpay.com                  |  ￥ 6.80
 henanjunhe.com                  |  ￥ 6.80
 hongnongbf.com                  |  ￥ 6.80
 hs-scm.com                      |  ￥ 6.80
 huixiliao.com                   |  ￥ 6.80
 huniujiaoyu.com                 |  ￥ 6.80
 jxhlrc.com                      |  ￥ 6.80
 hjzg99.com                      |  ￥ 6.80
 hathqj.com                      |  ￥ 6.80
 kowa60.com                      |  ￥ 6.80
 hlj566433.cn                    |  ￥ 8.88
 hzgxwh.cn                       |  ￥ 6.99
 haoaokj.cn                      |  ￥ 6.99
 kcsmen.cn                       |  ￥ 6.99
 jufeqcn.cn                      |  ￥ 10.00
 hfdcdjp.cn                      |  ￥ 10.00
 kbpucih.cn                      |  ￥ 10.00
 jhsriht.cn                      |  ￥ 10.00
 khhhvgx.cn                      |  ￥ 10.00
 kadyu.cn                        |  ￥ 10.00
 kmkhmkymx.cn                    |  ￥ 10.00
 hhkmkmxzc.cn                    |  ￥ 10.00
 kmkmkmxzc.cn                    |  ￥ 10.00
 hhfdsaxc.cn                     |  ￥ 10.00
 h2ajhsh.cn                      |  ￥ 3.99
 l2em97k.cn                      |  ￥ 3.99
 jib9ghy.cn                      |  ￥ 3.99
 hawmqxw.cn                      |  ￥ 10.00
 kasynyh.cn                      |  ￥ 10.00
 kkhgsp.cn                       |  ￥ 2.66
 l4r31.cn                        |  ￥ 2.66
 h6n51.cn                        |  ￥ 2.66
 k9b2s.cn                        |  ￥ 2.66
 l3k4j5.cn                       |  ￥ 2.66
 hrs89.cn                        |  ￥ 2.66
 itu01.cn                        |  ￥ 2.66
 jvw23.cn                        |  ￥ 2.66
 kxy45.cn                        |  ￥ 2.66
 klm01.cn                        |  ￥ 2.66
 klm89.cn                        |  ￥ 2.66
 klmnos.cn                       |  ￥ 2.66
 hj23k.cn                        |  ￥ 2.66
 l7m8n.cn                        |  ￥ 2.66
 h5j6k.cn                        |  ￥ 2.66
 k7l8m.cn                        |  ￥ 2.66
 k8l9m.cn                        |  ￥ 2.66
 kl78m.cn                        |  ￥ 2.66
 j01k2.cn                        |  ￥ 2.66
 j8k0l.cn                        |  ￥ 2.66
 j0k2l.cn                        |  ￥ 2.66
 hj45k.cn                        |  ￥ 2.66
 hj01k.cn                        |  ￥ 2.66
 hj67k.cn                        |  ￥ 2.66
 kxy89.cn                        |  ￥ 2.66
 itu45.cn                        |  ￥ 2.66
 jvw67.cn                        |  ￥ 2.66
 hrs23.cn                        |  ￥ 2.66
 itu23.cn                        |  ￥ 2.66
 jvw45.cn                        |  ￥ 2.66
 kxy67.cn                        |  ￥ 2.66
 hrs01.cn                        |  ￥ 2.66
 kmd45.cn                        |  ￥ 2.66
 jlc23.cn                        |  ￥ 2.66
 ikb01.cn                        |  ￥ 2.66
 hja89.cn                        |  ￥ 4.99
 jlc01.cn                        |  ￥ 2.66
 jlb67.cn                        |  ￥ 2.66
 kmc89.cn                        |  ￥ 2.66
 ika45.cn                        |  ￥ 2.66
 hjz23.cn                        |  ￥ 2.66
 ika23.cn                        |  ￥ 2.66
 jlb45.cn                        |  ￥ 2.66
 kmc67.cn                        |  ￥ 2.66
 hjz01.cn                        |  ￥ 2.66
 kmc45.cn                        |  ￥ 2.66
 hjz89.cn                        |  ￥ 2.66
 ika01.cn                        |  ￥ 2.66
 jlb23.cn                        |  ￥ 2.66
 kmc23.cn                        |  ￥ 2.66
 iky89.cn                        |  ￥ 2.66
 jlz01.cn                        |  ￥ 2.66
 hjw67.cn                        |  ￥ 2.66
 jlb89.cn                        |  ￥ 2.66
 hjz45.cn                        |  ￥ 2.66
 koq23.cn                        |  ￥ 2.66
 jnp01.cn                        |  ￥ 2.66
 hln67.cn                        |  ￥ 2.66
 imo89.cn                        |  ￥ 2.66
 kpr23.cn                        |  ￥ 2.66
 joq01.cn                        |  ￥ 2.66
 inp89.cn                        |  ￥ 2.66
 hmo67.cn                        |  ￥ 2.66
 knq23.cn                        |  ￥ 2.66
 ilo89.cn                        |  ￥ 2.66
 ikn89.cn                        |  ￥ 2.66
 jlo01.cn                        |  ￥ 2.66
 hjm67.cn                        |  ￥ 2.66
 kmn23.cn                        |  ￥ 2.66
 jlm01.cn                        |  ￥ 2.66
 hjk67.cn                        |  ￥ 2.66
 ikl89.cn                        |  ￥ 2.66
 jln23.cn                        |  ￥ 2.66
 kmo45.cn                        |  ￥ 2.66
 ikm01.cn                        |  ￥ 2.66
 hjl89.cn                        |  ￥ 2.66
 hyaglm.cn                       |  ￥ 3.66
 jqvzk.cn                        |  ￥ 2.22
 jkvxzq.cn                       |  ￥ 2.22
 kxzwp.cn                        |  ￥ 2.22
 kzpxf.cn                        |  ￥ 2.22
 jqvkz.cn                        |  ￥ 2.22
 jvpzq.cn                        |  ￥ 2.22
 jkpvq.cn                        |  ￥ 2.22
 jvkqw.cn                        |  ￥ 2.22
 jwqxk.cn                        |  ￥ 2.22
 jvzqk.cn                        |  ￥ 2.22
 jpxvk.cn                        |  ￥ 2.22
 jkzqv.cn                        |  ￥ 2.22
 kqwzf.cn                        |  ￥ 2.22
 jzqwx.cn                        |  ￥ 2.22
 kpvxj.cn                        |  ￥ 2.22
 kxqwj.cn                        |  ￥ 2.22
 k8l6.cn                         |  ￥ 2.22
 j7k3.cn                         |  ￥ 2.22
 h8j6.cn                         |  ￥ 2.22
 k5l7.cn                         |  ￥ 2.22
 kxvjej.cn                       |  ￥ 2.22
 ifnmu.cn                        |  ￥ 2.22
 iglvn.cn                        |  ￥ 2.22
 kasqkz.cn                       |  ￥ 2.22
 jqomsk.cn                       |  ￥ 2.22
 klsqoqn.cn                      |  ￥ 2.22
 klqpowhs.cn                     |  ￥ 2.22
 jsqmzl.cn                       |  ￥ 2.22
 jewkwbns.cn                     |  ￥ 2.22
 kilozx.cn                       |  ￥ 2.66
 hgfdsa.cn                       |  ￥ 2.66
 jklmyu.cn                       |  ￥ 2.66
 kjhgty.cn                       |  ￥ 2.66
 iklmop.cn                       |  ￥ 2.66
 ijbuhv.cn                       |  ￥ 2.66
 hjklzxc.cn                      |  ￥ 2.66
 ijbhvgc.cn                      |  ￥ 2.66
 j6we5r.cn                       |  ￥ 2.66
 l4hy8z.cn                       |  ￥ 2.66
 jntpo.cn                        |  ￥ 2.66
 knmwd.cn                        |  ￥ 2.66
 juhygt.cn                       |  ￥ 2.66
 koijuh.cn                       |  ￥ 2.66
 iklolp.cn                       |  ￥ 2.66
 jmiklo.cn                       |  ￥ 2.66
 hnujmi.cn                       |  ￥ 2.66
 iklopq.cn                       |  ￥ 2.98
